start point = [5, 5]

results: 
385: [2.02274988 4.11717229] = 1.052599216266096
386: [2.02373955 4.10039349] = 1.0482800068573404
387: [2.0185552  4.10008792] = 1.0439688427029288
388: [2.01939638 4.08193948] = 1.039327199066942
389: [2.01402841 4.08169083] = 1.034695260581788
390: [2.0146776 4.061859 ] = 1.0296566590117715
391: [2.00909201 4.06167624] = 1.024629962744529
392: [2.00948517 4.03971618] = 1.0190887184605792
393: [2.00363585 4.03961149] = 1.0135623859941836
394: [2.00367353 4.01485952] = 1.0073607934197075
395: [1.99749511 4.01485011] = 1.0011783791356568
396: [1.99701144 3.98624604] = 0.9940645224219563
397: [1.99040568 3.98635778] = 0.9869761892475472
398: [1.98909468 3.95203727] = 0.9785072374450687
399: [1.98190133 3.95231232] = 0.9700737909108104
400: [1.97910594 3.90848329] = 0.9593501784095498
401: [1.97102922 3.90899949] = 0.9486785530331638
402: [1.96492157 3.84577819] = 0.9333654060357587
403: [1.95528911 3.84671304] = 0.9181268569438942
404: [1.93699779 3.72017969] = 0.8880650259646038
405: [1.92343404 3.72216784] = 0.8578241727123943
406: [1.62856441 2.51703747] = 0.577841912031118
407: [1.58642205 2.52835968] = 0.34524217169717386
408: [1.58244851 2.52623678] = 0.34412749209537186
409: [1.58453527 2.52228913] = 0.3430125297773632
410: [1.5805718  2.52020034] = 0.3419005899019448
411: [1.5826469  2.51622013] = 0.340788189913046
412: [1.57869301 2.51416489] = 0.33967875291361455
413: [1.58075654 2.51015134] = 0.3385686764152966
414: [1.57681172 2.50812911] = 0.33746150723314744
415: [1.57886375 2.5040814 ] = 0.33635351689164517
416: [1.57492752 2.50209169] = 0.3352483818528866
417: [1.5769681  2.49800896] = 0.33414224142340426
418: [1.57303997 2.49605128] = 0.33303890783472184
419: [1.57506917 2.49193266] = 0.3319343817468945
420: [1.57114867 2.49000655] = 0.33083261749205706
421: [1.57316652 2.48585114] = 0.3297294704346811
422: [1.56925316 2.48395614] = 0.32862904356988054
423: [1.5712597  2.47976299] = 0.3275270400729078
424: [1.56735301 2.4778987 ] = 0.32642771841898943
425: [1.56934826 2.47366683] = 0.3253266224307281
426: [1.56544777 2.47183284] = 0.3242281731603273
427: [1.56743175 2.46756123] = 0.32312774761773727
428: [1.56353699 2.46575715] = 0.32202993683526954
429: [1.5655097  2.46144475] = 0.3209299432251484
430: [1.5616202  2.45967023] = 0.31983253553751256
431: [1.56358164 2.45531593] = 0.31873273344626235
432: [1.55969692 2.45357062] = 0.31763549152201326
433: [1.56164708 2.44917328] = 0.3165356381715487
434: [1.55776667 2.44745686] = 0.3154383222861553
435: [1.55970551 2.44301527] = 0.3143381720533516
436: [1.55582895 2.44132742] = 0.3132405396180062
437: [1.55775644 2.43684035] = 0.3121398435348955
438: [1.55388325 2.43518079] = 0.31104164860614975
439: [1.55579933 2.43064693] = 0.3099401538378558
440: [1.55192903 2.42901538] = 0.30884114660513495
441: [1.55383365 2.42443337] = 0.3077385959022744
442: [1.54996575 2.42282957] = 0.30663852215007326
443: [1.55185884 2.418198  ] = 0.3055346532720483
444: [1.54799286 2.41662171] = 0.3044332538133052
445: [1.54987432 2.41193908] = 0.3033277989185645
446: [1.54600977 2.41039007] = 0.3022248089953752
447: [1.54787951 2.40565484] = 0.3011174939943135
448: [1.54401588 2.4041329 ] = 0.30001264264173777
449: [1.54587379 2.39934343] = 0.29890318650743614
450: [1.54201057 2.39784838] = 0.29779619587569855
451: [1.54385651 2.39300295] = 0.29668430990716455
452: [1.5399932 2.3915346] = 0.2955748945370108
453: [1.54182702 2.38663143] = 0.29446028156895027
454: [1.53796308 2.38518962] = 0.29334814761431144
455: [1.53978462 2.3802268 ] = 0.29223050116674065
456: [1.53591952 2.3788114 ] = 0.2911153455581403
457: [1.5377286  2.37378695] = 0.2899943489183005
