learning rate = 0.01
start point = [0, 0]

results: 
253: [1.9879433363364787, 0.999999999310839] = -7.999854636861304
254: [1.988184469609749, 0.999999999365972] = -7.9998603932415975
255: [1.988420780217554, 0.9999999994166942] = -7.99986592166923
256: [1.9886523646132028, 0.9999999994633586] = -7.999871231171128
257: [1.9888793173209387, 0.9999999995062899] = -7.999876330416751
258: [1.98910173097452, 0.9999999995457867] = -7.999881227732248
259: [1.9893196963550297, 0.9999999995821238] = -7.999885931114051
260: [1.9895333024279291, 0.999999999615554] = -7.999890448241935
261: [1.9897426363793707, 0.9999999996463097] = -7.999894786491555
262: [1.9899477836517832, 0.999999999674605] = -7.999898952946489
263: [1.9901488279787474, 0.9999999997006366] = -7.999902954409808
264: [1.9903458514191725, 0.9999999997245856] = -7.999906797415179
265: [1.990538934390789, 0.9999999997466188] = -7.999910488237538
266: [1.9907281557029732, 0.9999999997668892] = -7.999914032903332
267: [1.990913592588915, 0.9999999997855381] = -7.999917437200359
268: [1.9910953207371367, 0.999999999802695] = -7.9999207066872255
269: [1.991273414322394, 0.9999999998184794] = -7.999923846702411
270: [1.9914479460359462, 0.999999999833001] = -7.999926862372996
271: [1.9916189871152272, 0.9999999998463609] = -7.999929758623026
272: [1.9917866073729227, 0.9999999998586521] = -7.999932540181554
273: [1.9919508752254642, 0.9999999998699599] = -7.999935211590365
274: [1.9921118577209544, 0.9999999998803631] = -7.999937777211386
275: [1.9922696205665351, 0.999999999889934] = -7.999940241233815
276: [1.9924242281552038, 0.999999999898738] = -7.999942607680956
277: [1.9925757435920997, 0.9999999999068391] = -7.999944880416789
278: [1.9927242287202576, 0.999999999914292] = -7.999947063152285
279: [1.9928697441458525, 0.9999999999211496] = -7.999949159451454
280: [1.9930123492629364, 0.9999999999274577] = -7.999951172737177
281: [1.9931521022776777, 0.999999999933261] = -7.999953106296785
282: [1.993289060232124, 0.9999999999386002] = -7.999954963287432
283: [1.993423279027483, 0.9999999999435115] = -7.999956746741249
284: [1.9935548134469334, 0.9999999999480306] = -7.999958459570297
285: [1.9936837171779949, 0.9999999999521881] = -7.999960104571312
286: [1.9938100428344343, 0.9999999999560131] = -7.999961684430288
287: [1.9939338419777457, 0.999999999959532] = -7.99996320172685
