learning rate = 0.1
start point = [0, 0]

results: 
221: [3.7148702775016516e-07, 3.7148702775016516e-07] = -2.6753004799985195e-09
222: [3.7316796831883483e-07, 3.7316796831883483e-07] = -2.675300536509745e-09
223: [3.7484890892166206e-07, 3.7484890892166206e-07] = -2.675300593020962e-09
224: [3.7652984955864844e-07, 3.7652984955864844e-07] = -2.67530064953219e-09
225: [3.782107902297918e-07, 3.782107902297918e-07] = -2.675300706043428e-09
226: [3.7989173093509216e-07, 3.7989173093509216e-07] = -2.6753007625546577e-09
227: [3.8157267167455173e-07, 3.8157267167455173e-07] = -2.675300819065899e-09
228: [3.8325361244816923e-07, 3.8325361244816923e-07] = -2.675300875577131e-09
229: [3.849345532559448e-07, 3.849345532559448e-07] = -2.6753009320883745e-09
230: [3.8661549409787737e-07, 3.8661549409787737e-07] = -2.675300988599628e-09
231: [3.882964349739685e-07, 3.882964349739685e-07] = -2.675301045110864e-09
232: [3.8997737588421765e-07, 3.8997737588421765e-07] = -2.675301101622101e-09
233: [3.916583168286244e-07, 3.916583168286244e-07] = -2.6753011581333584e-09
234: [3.9333925780718974e-07, 3.9333925780718974e-07] = -2.6753012146446074e-09
235: [3.9502019881991257e-07, 3.9502019881991257e-07] = -2.6753012711558668e-09
236: [3.9670113986679354e-07, 3.9670113986679354e-07] = -2.6753013276671277e-09
237: [3.983820809478326e-07, 3.983820809478326e-07] = -2.67530138417839e-09
238: [4.000630220630297e-07, 4.000630220630297e-07] = -2.675301440689653e-09
239: [4.0174396321238485e-07, 4.0174396321238485e-07] = -2.6753014972009177e-09
240: [4.0342490439589806e-07, 4.0342490439589806e-07] = -2.675301553712183e-09
241: [4.0510584561357004e-07, 4.0510584561357004e-07] = -2.67530161022345e-09
242: [4.067867868653997e-07, 4.067867868653997e-07] = -2.6753016667347085e-09
243: [4.0846772815138636e-07, 4.0846772815138636e-07] = -2.6753017232459774e-09
244: [4.1014866947153106e-07, 4.1014866947153106e-07] = -2.6753017797572474e-09
245: [4.1182961082583374e-07, 4.1182961082583374e-07] = -2.675301836268538e-09
246: [4.1351055221429446e-07, 4.1351055221429446e-07] = -2.6753018927798108e-09
247: [4.151914936369132e-07, 4.151914936369132e-07] = -2.675301949291094e-09
248: [4.1687243509368983e-07, 4.1687243509368983e-07] = -2.6753020058023877e-09
249: [4.1855337658462374e-07, 4.1855337658462374e-07] = -2.6753020623136644e-09
250: [4.202343181097163e-07, 4.202343181097163e-07] = -2.675302118824951e-09
251: [4.219152596689673e-07, 4.219152596689673e-07] = -2.6753021753362484e-09
252: [4.235962012623765e-07, 4.235962012623765e-07] = -2.6753022318475375e-09
253: [4.252771428899427e-07, 4.252771428899427e-07] = -2.6753022883588374e-09
254: [4.2695808455166704e-07, 4.2695808455166704e-07] = -2.6753023448701294e-09
255: [4.2863902624754953e-07, 4.2863902624754953e-07] = -2.6753024013814317e-09
256: [4.3031996797759e-07, 4.3031996797759e-07] = -2.6753024578927444e-09
257: [4.3200090974178854e-07, 4.3200090974178854e-07] = -2.67530251440404e-09
258: [4.3368185154014454e-07, 4.3368185154014454e-07] = -2.675302570915345e-09
259: [4.3536279337265873e-07, 4.3536279337265873e-07] = -2.6753026274266614e-09
260: [4.370437352393316e-07, 4.370437352393316e-07] = -2.6753026839379794e-09
261: [4.3872467714016153e-07, 4.3872467714016153e-07] = -2.6753027404492793e-09
262: [4.404056190751506e-07, 4.404056190751506e-07] = -2.675302796960599e-09
263: [4.4208656104429673e-07, 4.4208656104429673e-07] = -2.6753028534719204e-09
264: [4.4376750304760066e-07, 4.4376750304760066e-07] = -2.6753029099832426e-09
265: [4.454484450850631e-07, 4.454484450850631e-07] = -2.675302966494566e-09
266: [4.471293871566836e-07, 4.471293871566836e-07] = -2.675303023005891e-09
267: [4.4881032926246336e-07, 4.4881032926246336e-07] = -2.675303079517217e-09
268: [4.5049127140239974e-07, 4.5049127140239974e-07] = -2.6753031360285437e-09
269: [4.5217221357649394e-07, 4.5217221357649394e-07] = -2.675303192539872e-09
270: [4.538531557847461e-07, 4.538531557847461e-07] = -2.6753032490512204e-09
271: [4.555340980271568e-07, 4.555340980271568e-07] = -2.675303305562551e-09
272: [4.572150403037249e-07, 4.572150403037249e-07] = -2.675303362073902e-09
273: [4.588959826144511e-07, 4.588959826144511e-07] = -2.675303418585235e-09
274: [4.605769249593354e-07, 4.605769249593354e-07] = -2.6753034750965786e-09
275: [4.6225786733837775e-07, 4.6225786733837775e-07] = -2.675303531607933e-09
276: [4.6393880975157787e-07, 4.6393880975157787e-07] = -2.6753035881192698e-09
