learning rate = 0.1
start point = [0.75, -1.25]

results: 
219: [-1.4951577509792606, -1.5539859259261077] = -1.5533476459928285e-22
220: [-1.4991345619594862, -1.5545956589936423] = -1.3592563418209055e-22
221: [-1.5029831502474924, -1.5552051054521447] = -1.1877079682903553e-22
222: [-1.50670314007292, -1.5558133318953447] = -1.0362583614746207e-22
223: [-1.5102943183266706, -1.5564193530757067] = -9.027154504435413e-23
224: [-1.51375664297451, -1.5570221368303285] = -7.851137344835837e-23
225: [-1.5170902511078737, -1.5576206101186332] = -6.816913471029035e-23
226: [-1.5202954665739943, -1.5582136661872574] = -5.908694481339477e-23
227: [-1.5233728071198378, -1.558800172850715] = -5.112337106072078e-23
228: [-1.5263229909728577, -1.5593789818454733] = -4.4151769185180414e-23
229: [-1.5291469427663922, -1.5599489391802908] = -3.8058789874828144e-23
230: [-1.5318457986985645, -1.5605088963678084] = -3.274303754553621e-23
231: [-1.5344209107917997, -1.5610577223824778] = -2.811386584749413e-23
232: [-1.5368738500966403, -1.5615943161494763] = -2.409029588103261e-23
233: [-1.5392064086604687, -1.562117619330205] = -2.0600044439932382e-23
234: [-1.541420600061519, -1.5626266291344388] = -1.7578650814431975e-23
235: [-1.5435186582941336, -1.5631204108598342] = -1.4968691787558025e-23
236: [-1.5455030347858805, -1.5635981098389276] = -1.2719075462158879e-23
237: [-1.5473763933340379, -1.5640589624645684] = -1.0784405475609094e-23
238: [-1.5491416027708411, -1.5645023059692347] = -9.124408006272321e-24
239: [-1.5508017272056405, -1.564927586653496] = -7.703414760310866e-24
240: [-1.5523600137483475, -1.5653343662947814] = -6.48989585696822e-24
241: [-1.5538198776911967, -1.5657223265191422] = -5.456037210370976e-24
242: [-1.555184885212167, -1.5660912709841472] = -4.577357639156325e-24
243: [-1.5564587337587528, -1.5664411252973565] = -3.832361522617294e-24
244: [-1.5576452303691495, -1.5667719346777615] = -3.2022233625003873e-24
245: [-1.5587482682822746, -1.5670838594520884] = -2.670501100788074e-24
246: [-1.5597718022711313, -1.5673771685584534] = -2.2228754829279046e-24
247: [-1.5607198231990955, -1.5676522313012464] = -1.8469131404962145e-24
248: [-1.5615963323404034, -1.5679095076586655] = -1.5318513957024526e-24
249: [-1.5624053160209666, -1.5681495374846348] = -1.2684030626177e-24
250: [-1.563150721122583, -1.5683729289679793] = -1.048579738688558e-24
251: [-1.5638364319539755, -1.5685803467134736] = -8.655322492006108e-25
252: [-1.5644662489294088, -1.5687724997930221] = -7.134070329408298e-25
253: [-1.565043869415168, -1.5689501300834556] = -5.872173467789616e-25
254: [-1.5655728710122156, -1.5691140011638076] = -4.827282283964296e-25
255: [-1.5660566974465018, -1.5692648879935676] = -3.9635419813401936e-25
256: [-1.5664986471429785, -1.5694035675384062] = -3.250687105398721e-25
257: [-1.5669018644707358, -1.569530810455015] = -2.66324390250661e-25
258: [-1.5672693335690036, -1.5696473738951442] = -2.179831105281439e-25
259: [-1.5676038745997714, -1.5697539954430217] = -1.7825499979179214e-25
260: [-1.567908142223803, -1.569851388161616] = -1.4564549406379588e-25
261: [-1.5681846260629786, -1.5699402366924] = -1.1890959230522546e-25
262: [-1.5684356528922532, -1.5700211943304265] = -9.7012517063438e-26
263: [-1.5686633902974756, -1.57009488098119] = -7.909603379768713e-26
264: [-1.5688698515388046, -1.5701618818970604] = -6.444973736289287e-26
265: [-1.5690569013712536, -1.5702227470880203] = -5.248667183731235e-26
266: [-1.5692262625917823, -1.5702779913028708] = -4.272270858515279e-26
267: [-1.5693795231042964, -1.5703280944818958] = -3.4759165670190223e-26
268: [-1.5695181433181224, -1.570373502589184] = -2.826820821696811e-26
269: [-1.569643463720535, -1.5704146287415104] = -2.29806230428488e-26
270: [-1.569756712488575, -1.5704518545601496] = -1.8675611119475556e-26
271: [-1.5698590130288588, -1.5704855316816675] = -1.517228768333485e-26
272: [-1.569951391355766, -1.5705159833731688] = -1.2322621846273794e-26
273: [-1.570034783237945, -1.5705435062063793] = -1.0005585290598012e-26
274: [-1.5701100410603435, -1.570568371753112] = -8.122313149633925e-27
275: [-1.5701779403638971, -1.5705908282719996] = -6.592109663698655e-27
276: [-1.570239186037705, -1.570611102362825] = -5.349156928180258e-27
277: [-1.5702944181490874, -1.5706294005703654] = -4.3398073249469936e-27
278: [-1.5703442174055848, -1.5706459109244073] = -3.520359383751729e-27
279: [-1.5703891102498946, -1.570660804406571] = -2.855233193557986e-27
280: [-1.5704295735941882, -1.5706742363378612] = -2.3154754025646868e-27
281: [-1.570466039204402, -1.5706863476835218] = -1.8775356208865364e-27
282: [-1.5704988977481613, -1.570697266273909] = -1.5222659572480379e-27
283: [-1.5705285025221434, -1.570707107941753] = -1.2341037416420421e-27
284: [-1.5705551728760956, -1.5707159775774675] = -1.0004044415301352e-27
285: [-1.5705791973515177, -1.5707239701051094] = -8.1089757578227e-28
286: [-1.570600836553336, -1.5707311713822845] = -6.572432471215624e-28
287: [-1.5706203257728375, -1.5707376590277546] = -5.326709061146296e-28
288: [-1.5706378773797847, -1.5707435031807984] = -4.316852609490831e-28
289: [-1.5706536830010667, -1.5707487671965223] = -3.498269714529143e-28
290: [-1.5706679155025323, -1.5707535082813728] = -2.8347800962372e-28
291: [-1.5706807307898227, -1.5707577780730457] = -2.2970341407830896e-28
292: [-1.570692269443145, -1.5707616231689032] = -1.8612268064142197e-28
293: [-1.570702658199999, -1.5707650856068465] = -1.5080527350542112e-28
294: [-1.570712011298946, -1.5707682033024244] = -1.2218575852461773e-28
295: [-1.5707204316965888, -1.5707710104457517] = -9.899489237407517e-29
296: [-1.5707280121690237, -1.5707735378616048] = -8.020368129234756e-29
297: [-1.5707348363081726, -1.5707758133358405] = -6.497797839331333e-29
298: [-1.5707409794225633, -1.5707778619110737] = -5.264164150084488e-29
299: [-1.570746509351353, -1.5707797061543312] = -4.264664277592604e-29
300: [-1.570751487199646, -1.5707813663991945] = -3.4548822290637164e-29
301: [-1.5707559680024699, -1.5707828609647498] = -2.798822269175446e-29
